id;event_date;round;status_short;venue;score
1;2020-01-04;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking
2;2020-01-04;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented
3;2020-01-04;Customer Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing
4;2020-01-03;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked
5;2020-01-04;navigate;program alarm;Nevada;Berkshire
6;2020-01-04;Ergonomic;Strategist target;Investor users dot-com;North Dakota Cambridgeshire
7;2020-01-04;sensor;Alaska;deposit Chips Applications;uniform PCI back up
8;2020-01-03;hardware Venezuela Wisconsin;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
9;2020-01-04;Intelligent;Zambian Kwacha intuitive;Bedfordshire;portal calculating Metal
10;2020-01-04;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit
